epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48988,0.26455,0.59798,0.1089,0.00375,1,0.50638,0.10394,0.25512,1.93268,0.29406,0.000175,0.000175,0.000175
2,6.91372,1.14949,2.50338,0.83585,0.00325,1,0.17294,0.05188,0.36431,1.94741,0.33196,0.000290725,0.000290725,0.000290725
3,9.98618,0.63944,1.88662,0.57914,0.00342,1,0.08921,0.0255,0.41414,1.94853,0.33109,0.0003322,0.0003322,0.0003322
4,13.391,0.81534,1.89379,0.57993,0.00343,1,0.01125,0.00261,0.4108,1.93327,0.31492,0.000299425,0.000299425,0.000299425
5,16.2142,0.53578,1.66607,0.44712,0,0,0,0,0.33926,1.97881,0.33002,0.0001924,0.0001924,0.0001924
